"STARTLINER",MASTER,1100
"Perfect Shining!!",MASTER,1150
"君の知らない物語",MASTER,1070
"シュガーソングとビターステップ",MASTER,1170
"檄!帝国華撃団",MASTER,1130
"回レ！雪月花",MASTER,1180
"ＧＯ！ＧＯ！ラブリズム♥",MASTER,1190
"みんな Happy!!",MASTER,1140
"ようこそジャパリパークへ",MASTER,1170
"ファッとして桃源郷",MASTER,1230
"かくしん的☆めたまるふぉ～ぜっ!",MASTER,1210
"脳漿炸裂ガール",MASTER,1320
"Oshama Scramble!",MASTER,1380
"Zest of Blue",MASTER,1200
"This game",MASTER,1160
"Los! Los! Los!",MASTER,1190
"SAVIOR OF SONG",MASTER,1220
"心象蜃気楼",MASTER,1220
"The Formula",MASTER,1260
"Here We Go",MASTER,1260
"Mare Maris",MASTER,1250
"Hyper Active",MASTER,1280
"Brain Power",MASTER,1340
"Halcyon",MASTER,1360
"Dolphika",MASTER,1360
"P！P！P！P！がおー!!",MASTER,1290
"天ノ弱",MASTER,1190
"おこちゃま戦争",MASTER,1200
"六兆年と一夜物語",MASTER,1250
"タテマエと本心の大乱闘",MASTER,1180
"千本桜",MASTER,1180
"オモイヨシノ",MASTER,1200
"天火明命",MASTER,1300
"Cyberozar",MASTER,1310
"AMAZING MIGHTYYYY!!!!",MASTER,1370
"Ai Nov",MASTER,1390
"キミノヨゾラ哨戒班",MASTER,1250
"Gate of Doom",MASTER,1350
"ロッキンピンクモンスター",MASTER,1280
"木彫り鯰と右肩ゾンビ",MASTER,1220
"鬼KYOKAN",MASTER,1290
"ブツメツビーターズ",MASTER,1330
"ときめきエクスペリエンス！",MASTER,1080
"That Is How I Roll!",MASTER,1100
"しゅわりん☆どり〜みん",MASTER,1080
"BLACK SHOUT",MASTER,1170
"えがおのオーケストラっ！",MASTER,1080
"鳥の詩",MASTER,1100
"Red “reduction division” -crossroads version-",MASTER,1220
"First Twinkle",MASTER,1140
"SWEET SHAKE!!",MASTER,1260
"What color...",MASTER,1280
